ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
,Unit 149 Braehead Shopping Centre,GLASGOW,G51 4BS,Retail/Financial,Retail/Financial and Professional services,2124,72,E,71.93,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"254,880.00",254.88,0.25
Unit 146 Braehead Shopping Centre,King's Inch Road,Glasgow,G51 4BS,Retail/Financial,Retail/Financial and Professional services,820,79,E,78.83,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"98,400.00",98.4,0.1
UNIT 123 Braehead Shopping Centre,King's Inch Road,Glasgow,G51 4BS,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,380,177,G,176.83,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"45,600.00",45.6,0.05
"Filling Station, Braehead Shopping Centre",110 King's Inch Drive,Glasgow,G51 4BT,Retail/Financial,Retail/Financial and Professional services,171,7,A+,6.68,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"5,130.00",5.13,0.01
UNIT E BRAEHEAD RETAIL PARK,148 KING'S INCH DRIVE,GLASGOW,G51 4BT,Retail/Financial,Retail/Financial and Professional services,959,7,A+,6.55,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"28,770.00",28.77,0.03
UNIT C BRAEHEAD RETAIL PARK,160 KING'S INCH DRIVE,GLASGOW,G51 4BT,Retail/Financial,Retail/Financial and Professional services,946,7,A+,6.6,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"28,380.00",28.38,0.03
UNIT F BRAEHEAD RETAIL PARK,142 KING'S INCH DRIVE,GLASGOW,G51 4BT,Retail/Financial,Retail/Financial and Professional services,946,8,A,8.45,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"28,380.00",28.38,0.03
UNIT A BRAEHEAD RETAIL PARK,172 KING'S INCH DRIVE,GLASGOW,G51 4BT,Retail/Financial,Retail/Financial and Professional services,2383,6,A+,5.98,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"71,490.00",71.49,0.07
Kings Inch Drive,,Glasgow,G51 4BT,Restaurant/Cafes/takeaway,A3/A4/A5 Restaurant and Cafes/Drinking Establishments and Hot Food takeaways,694,60,D,59.95,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"69,400.00",69.4,0.07
Unit 1B,426 Drumoyne Road,Glasgow,G51 4DA,Storage/Distribution,Storage or Distribution,1031,40,C,40.27,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"30,930.00",30.93,0.03
330 Drumoyne Road,,Glasgow,G51 4DJ,General Industrial,General Industrial and Special Industrial Groups,313,60,D,59.72,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"31,300.00",31.3,0.03
316 DRUMOYNE ROAD,,GLASGOW,G51 4DJ,Office/Workshop,Offices and Workshop businesses,481,33,C+,33.24,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"40,885.00",40.89,0.04
"Meiklewood Road Complex, Building 2",91 Meiklewood Road,Glasgow,G51 4DU,Office/Workshop,Offices and Workshop businesses,14150,28,B,27.84,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"778,250.00",778.25,0.78
"Meiklewood Road Complex, Building 1",91 Meiklewood Road,Glasgow,G51 4DU,Storage/Distribution,Storage or Distribution,2047,40,C,40.3,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"61,410.00",61.41,0.06
