ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
120 McCulloch Street,,Glasgow,G41 1NX,Education,Non-residential Institutions: Education,4154,18,B+,17.53,CHP generators,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"228,470.00",228.47,0.23
427 SHIELDS ROAD,,GLASGOW,G41 1NY,Retail/Financial,Retail/Financial and Professional services,25,35,C+,35.29,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"2,125.00",2.13,0
413 SHIELDS ROAD,,GLASGOW,G41 1NY,Office/Workshop,Offices and Workshop businesses,150,13,A,12.74,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"4,500.00",4.5,0
231 ST ANDREWS ROAD,,GLASGOW,G41 1PD,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,309,33,C+,33.13,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"26,265.00",26.27,0.03
225 ST ANDREWS ROAD,,GLASGOW,G41 1PD,Retail/Financial,Retail/Financial and Professional services,100,72,E,72.21,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"12,000.00",12,0.01
260 MAXWELL ROAD,,GLASGOW,G41 1PJ,Office/Workshop,Offices and Workshop businesses,117,93,F,93.36,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"14,040.00",14.04,0.01
197 POLLOKSHAWS ROAD,,GLASGOW,G41 1PS,Storage/Distribution,Storage or Distribution,4705,17,B+,17.4,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"141,150.00",141.15,0.14
181 POLLOKSHAWS ROAD,,GLASGOW,G41 1PU,Office/Workshop,Offices and Workshop businesses,1814,39,C,38.97,Other non-calculated,Grid supplied,Natural Gas,Air Conditioning,,"217,680.00",217.68,0.22
100 Pollokshaws Road,,Glasgow,G41 1PZ,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,1315,258,G,258.15,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"197,250.00",197.25,0.2
328 POLLOKSHAWS ROAD,,GLASGOW,G41 1QS,Retail/Financial,Retail/Financial and Professional services,70,86,F+,85.86,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"8,400.00",8.4,0.01
350 POLLOKSHAWS ROAD,,GLASGOW,G41 1QS,Retail/Financial,Retail/Financial and Professional services,382,94,F,93.7,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"45,840.00",45.84,0.05
381 POLLOKSHAWS ROAD,,GLASGOW,G41 1QZ,Office/Workshop,Offices and Workshop businesses,417,14,A,13.73,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"12,510.00",12.51,0.01
381A POLLOKSHAWS ROAD,,GLASGOW,G41 1QZ,Office/Workshop,Offices and Workshop businesses,466,56,D,56.3,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"46,600.00",46.6,0.05
Unit 1B North St Andrews Industrial Estate,Devon Place,Glasgow,G41 1RD,General Industrial,General Industrial and Special Industrial Groups,493,38,C,38.29,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"59,160.00",59.16,0.06
