ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
77 MAVISBANK GARDENS,,GLASGOW,G51 1HF,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,354,113,G,112.91,None,Grid supplied,Oil,Heating and Natural Ventilation,,"53,100.00",53.1,0.05
249 GOVAN ROAD,,GLASGOW,G51 1HJ,Office/Workshop,Offices and Workshop businesses,5411,19,B+,19.35,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"297,605.00",297.61,0.3
Argyll House,209 Govan Road,Glasgow,G51 1HJ,Retail/Financial,Retail/Financial and Professional services,253,103,G,103.04,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"30,360.00",30.36,0.03
22 Govan Road,,Glasgow,G51 1HS,Office/Workshop,Offices and Workshop businesses,100,70,E+,69.9,CHP generators,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"12,000.00",12,0.01
24 Govan Road,,Glasgow,G51 1HS,Primary Healthcare Building,Non-residential Institutions: Primary Health Care Building,463,46,D+,45.76,CHP generators,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"50,930.00",50.93,0.05
54 GOVAN ROAD,,GLASGOW,G51 1JL,Office/Workshop,B1 Offices and Workshop businesses,1016,32,C+,31.81,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"86,360.00",86.36,0.09
30-32 Paisley Road West,,Glasgow,G51 1LB,Retail/Financial,Retail/Financial and Professional services,75,225,G,225.43,None,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"9,000.00",9,0.01
32PAISLEY ROAD WEST,,GLASGOW,G51 1LB,Retail/Financial,Retail/Financial and Professional services,88,100,F,100.43,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"10,560.00",10.56,0.01
2 Paisley Rd West,,Glasgow,G51 1LE,Restaurant/Cafes/takeaway,A3/A4/A5 Restaurant and Cafes/Drinking Establishments and Hot Food takeaways,763,345,G,345.18,None,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"91,560.00",91.56,0.09
21 PAISLEY ROAD WEST,,GLASGOW,G51 1LF,Retail/Financial,Retail/Financial and Professional services,290,42,C,42.25,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"34,800.00",34.8,0.03
27 PAISLEY ROAD WEST,,GLASGOW,G51 1LF,Retail/Financial,Retail/Financial and Professional services,267,102,G,102.1,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"32,040.00",32.04,0.03
387 Paisley Road West,,Glasgow,G51 1LR,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,36,436,G,435.73,None,Grid supplied,Grid Supplied Electricity,Heating and Mechanical Ventilation,,"4,320.00",4.32,0
UNIT 1,417 PAISLEY ROAD WEST,GLASGOW,G51 1LS,Retail/Financial,Retail/Financial and Professional services,70,115,G,115.2,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"8,400.00",8.4,0.01
319 Paisley Road West,,Glasgow,G51 1LU,Retail/Financial,Retail/Financial and Professional services,31,173,G,173.2,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"3,720.00",3.72,0
375 Paisley Road West,,Glasgow,G51 1LX,Retail/Financial,Retail/Financial and Professional services,47,175,G,174.79,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"5,640.00",5.64,0.01
253 Paisley Road West,,Glasgow,G51 1NB,Primary Healthcare Building,Non-residential Institutions: Primary Health Care Building,158,66,E+,65.58,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"23,700.00",23.7,0.02
233 PAISLEY ROAD WEST,,GLASGOW,G51 1NE,Retail/Financial,Retail/Financial and Professional services,105,20,B+,19.9,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"5,775.00",5.78,0.01
205 PAISLEY ROAD WEST,,GLASGOW,G51 1NE,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,98,249,G,249.31,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"11,760.00",11.76,0.01
50 CLIFFORD LANE,,GLASGOW,G51 1NR,General Industrial,General Industrial and Special Industrial Groups,325,42,C,42.08,None,Grid supplied,Grid Supplied Electricity,Heating and Mechanical Ventilation,,"39,000.00",39,0.04
6 PERCY STREET,,GLASGOW,G51 1NZ,Retail/Financial,Retail/Financial and Professional services,32,23,B,22.7,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"1,760.00",1.76,0
40 GOWER STREET,,GLASGOW,G51 1PH,Office/Workshop,Offices and Workshop businesses,547,116,G,115.53,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"65,640.00",65.64,0.07
