ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
Unit 4,54 Helen Street,Glasgow,G51 3HQ,General Industrial,General Industrial and Special Industrial Groups,951,24,B,24.37,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"52,305.00",52.31,0.05
Unit 5,54 Helen Street,Glasgow,G51 3HQ,General Industrial,General Industrial and Special Industrial Groups,928,22,B+,22.18,Heat pumps,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"51,040.00",51.04,0.05
Unit 6,54 Helen Street,Glasgow,G51 3HQ,General Industrial,General Industrial and Special Industrial Groups,477,8,A,7.6,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"14,310.00",14.31,0.01
Unit 3,54 Helen Street,Glasgow,G51 3HQ,Storage/Distribution,Storage or Distribution,465,82,F+,82.43,Heat pumps,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"13,950.00",13.95,0.01
480 HELEN STREET,,GLASGOW,G51 3HR,Retail/Financial,Retail/Financial and Professional services,3149,74,E,74.5,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"377,880.00",377.88,0.38
426 HELEN STREET,,GLASGOW,G51 3HR,Office/Workshop,Offices and Workshop businesses,741,186,G,185.83,None,Grid supplied,Oil,Heating and Natural Ventilation,,"88,920.00",88.92,0.09
426A HELEN STREET,,GLASGOW,G51 3HR,Retail/Financial,Retail/Financial and Professional services,801,140,G,140.48,None,Grid supplied,Oil,Heating and Mechanical Ventilation,,"96,120.00",96.12,0.1
Toys R Us,400 Helen Street,Glasgow,G51 3HR,Retail/Financial,Retail/Financial and Professional services,4062,113,G,113.31,Heat pumps,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"487,440.00",487.44,0.49
382 Helen Street,,Glasgow,G51 3HR,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,256,237,G,237.49,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"30,720.00",30.72,0.03
Kiosk,500 Helen Street,Glasgow,G51 3HR,Retail/Financial,Retail/Financial and Professional services,34,110,G,109.65,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"4,080.00",4.08,0
386-400 Helen Street Retail Park,,Govan,G51 3HR,Retail/Financial,Retail/Financial and Professional services,1738,15,A,14.51,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"52,140.00",52.14,0.05
71 LOANBANK QUADRANT,,GLASGOW,G51 3HZ,General Industrial,General Industrial and Special Industrial Groups,294,66,E+,65.68,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"35,280.00",35.28,0.04
74 LOANBANK QUADRANT,,GLASGOW,G51 3HZ,Office/Workshop,Offices and Workshop businesses,5234,41,C,41.34,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"628,080.00",628.08,0.63
34 LOANBANK QUADRANT,,GLASGOW,G51 3HZ,Office/Workshop,B1 Offices and Workshop businesses,510,30,B,30.3,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"28,050.00",28.05,0.03
75 LOANBANK QUADRANT,,GLASGOW,G51 3HZ,General Industrial,General Industrial and Special Industrial Groups,345,24,B,24.49,Heat pumps,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"18,975.00",18.98,0.02
91 Loanbank Quadrant,,Glasgow,G51 3HZ,Storage/Distribution,Storage or Distribution,579,40,C,39.6,None,Grid supplied,Dual Fuel Appliances (Mineral + Wood),Heating and Natural Ventilation,,"17,370.00",17.37,0.02
22 LOANBANK QUADRANT,,GLASGOW,G51 3HZ,Storage/Distribution,Storage or Distribution,335,28,B,28.08,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"10,050.00",10.05,0.01
26 Loanbank Quadant,,Govan,G51 3HZ,Retail/Financial,Retail/Financial and Professional services,206,38,C,37.93,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"24,720.00",24.72,0.02
58 Loanbank Quadrant,Govan,Glasgow,G51 3HZ,Storage/Distribution,Storage or Distribution,955,72,E,71.55,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"28,650.00",28.65,0.03
250 Helen Street,,Glasgow,G51 3JG,Storage/Distribution,Storage or Distribution,2990,45,C,45.49,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"89,700.00",89.7,0.09
260-266 HELEN STREET,,GLASGOW,G51 3JG,Storage/Distribution,B8 Storage or Distribution,3542,40,C,40.3,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"106,260.00",106.26,0.11
Argyll House,260-266 Helen Street,Glasgow,G51 3JH,Storage/Distribution,Storage or Distribution,3988,7,A+,7.22,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"119,640.00",119.64,0.12
Rear Warehouse,260-266 Helen Street,Glasgow,G51 3JH,Storage/Distribution,Storage or Distribution,904,4,A+,4.32,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"27,120.00",27.12,0.03
15-19 Birkmyre Road,,Glasgow,G51 3JH,Office/Workshop,Offices and Workshop businesses,715,41,C,40.77,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"85,800.00",85.8,0.09
7 BIRKMYRE ROAD,,GLASGOW,G51 3JH,Office/Workshop,Offices and Workshop businesses,669,59,D,59.27,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"66,900.00",66.9,0.07
132 Helen Street,,Glasgow,G51 3JS,Office/Workshop,Offices and Workshop businesses,128,44,C,44.32,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"15,360.00",15.36,0.02
136 HELEN STREET,,GLASGOW,G51 3JS,Retail/Financial,Retail/Financial and Professional services,196,16,B+,16.23,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"10,780.00",10.78,0.01
134 Helen Street,,Glasgow,G51 3JS,Retail/Financial,Retail/Financial and Professional services,157,46,D+,46.02,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"15,700.00",15.7,0.02
Unit 1,Helen Street Industrial Estate,Glasgow,G51 3JS,General Industrial,General Industrial and Special Industrial Groups,354,31,C+,31.41,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"30,090.00",30.09,0.03
Unit 2,Helen Street Industrial Estate,Glasgow,G51 3JS,General Industrial,General Industrial and Special Industrial Groups,586,4,A+,3.62,None,Grid supplied,Other,Unconditioned,,"17,580.00",17.58,0.02
Unit 3,Helen Street Industrial Estate,Glasgow,G51 3JS,General Industrial,General Industrial and Special Industrial Groups,711,4,A+,3.61,None,Grid supplied,Other,Unconditioned,,"21,330.00",21.33,0.02
Unit 4,Helen Street Industrial Estate,Glasgow,G51 3JS,Retail/Financial,Retail/Financial and Professional services,787,30,B,30.05,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"43,285.00",43.29,0.04
UNIT 10 GOVAN CROSS SHOPPING CENTRE,795 GOVAN ROAD,GLASGOW,G51 3JW,Retail/Financial,Retail/Financial and Professional services,135,121,G,121.11,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"16,200.00",16.2,0.02
Unit 3 Govan Cross Shopping Centre,795 Govan Road,Glasgow,G51 3JW,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,127,103,G,103.36,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"15,240.00",15.24,0.02
UNIT 16 GOVAN CROSS SHOPPING CENTRE,795 GOVAN ROAD,GLASGOW,G51 3JW,Retail/Financial,Retail/Financial and Professional services,68,23,B,23.17,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"3,740.00",3.74,0
