SS0405,CESW0508,THE BARN YOUTH,No change,,,,,
,,CENTRE,,,,,,
EXISTING,PROPOSED,CURRENT,PROPOSED,DISTANCE,PROPOSED,DISTANCE,REASON FOR,PROPOSED
POLLING,NEW,POLLING PLACE,CHANGE TO,MILES,CHANGE,MILES,PROPOSED CHANGE,CHANGE TO
DISTRICT,POLLING,,POLLING PLACE,,TO,,TO VENUE,POLLING PLACE
,DISTRICT,,,,POLLING,,,
,NAME,,,,PLACE,,,
PK0506,SOSW0601,CRAIGTON,,,,,BOWLING GREENS,Still under
,,PRIMARY SCHOOL,,,,,BELLAHOUSTON PARK,consideration
,,,,,,,(submitted during,
,,,,,,,consultation),
SS0506,SOSW0602,NITHSDALE ROAD,BELLAHOUSTON,0.5,ST,1M,To not use early years or,Still under
,,NURSERY,ACADEMY,,ALBERT'S,,ASL Education,consideration
,,,,,PRIMARY,,establishments.,
,,,,,SCHOOL,,Bellahouston Academy is,
,,,,,,,not an existing polling,
,,,,,,,place however St Albert's,
,,,,,,,PS is an existing polling,
,,,,,,,place.,
SS0706,SOSW0603,ST ALBERT'S,No change,,,,,No change
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
SS0806,SOSW0604,POLLOKSHIELDS,No change,,,,,No change
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
SS0906,SOSO0601,SHAWLANDS,No change,,,,,No change
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
SS1006,SOSW0605,POLLOKSHIELDS,ST ALBERT'S,0.7,,,The cost of the current,No change
,,BURGH HALL,PRIMARY,,,,polling place is,
,,,SCHOOL,,,,approximately £2000.,
,,,,,,,St Albert's PS is an,
,,,,,,,existing polling place.,
SS1106,SOSO0602,SHAWLANDS,No change,,,,,No change
,,ACADEMY,,,,,,
SS1206,SOSO0603,QUEENS PARK,No change,,,,,No change
,,CHURCH OF,,,,,,
,,SCOTLAND,,,,,,
EXISTING,POLLING,PROPOSED,CURRENT POLLING,PROPOSED CHANGE TO POLLING,,,,
POLLING,DISTRICT,NEW,PLACE,PLACE,,,,
DISTRICT,MERGE,POLLING,,,,,,
,WITH,DISTRICT,,,,,,
,,NAME,,,,,,
CC0107,,SOSO0701,MOUNT FLORIDA,No change,,,,
,,,PRIMARY SCHOOL,,,,,
,,,,,,,,
CC0207,,SOSO0702,BATTLEFIELD PRIMARY,No change,,,,
