OSG_REFERENCE_NUMBER,ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,BUILDING_EMISSIONS,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,APPROXIMATE_ENERGY_USE,LOCAL_AUTHORITY,CONSTITUENCY,TARGET_EMISSIONS
,147-151 North Street,,Glasgow,G3 7DA,90.51,Grid supplied,Natural Gas,256,00QS,00QSMK,22.79
9.067E+11,157 NORTH STREET,,GLASGOW,G3 7DA,77.03,Grid supplied,Natural Gas,271,00QS,00QSMK,36.33
9.067E+11,241 North Street,,Glasgow,G3 7DL,191.51,Grid supplied,Natural Gas,491,00QS,00QSMK,73.89
9.067E+11,235 NORTH STREET,,GLASGOW,G3 7DL,104.89,Grid supplied,Natural Gas,285,00QS,00QSMK,70.32
9.067E+11,THE MITCHELL LIBRARY,201 NORTH STREET,GLASGOW,G3 7DN,26.13,Grid supplied,Natural Gas,137,00QS,00QSMK,5.87
,First Floor,32 Granville Street,Glasgow,G3 7DR,83.85,Grid supplied,Natural Gas,273,00QS,00QSMK,22.07
9.067E+11,74 Berkeley Street,,Glasgow,G3 7DS,83.9,Grid supplied,Natural Gas,207,00QS,00QSMK,15.82
9.06701E+11,Storey Basement,40a Berkeley Street,Glasgow,G3 7DW,131.91,Grid supplied,Natural Gas,333,00QS,00QSMK,20.61
9.067E+11,71 BERKELEY STREET,,GLASGOW,G3 7DX,46.7,Grid supplied,Natural Gas,142,00QS,00QSMK,14.07
,65A Berkeley Street,,Glasgow,G3 7DX,46.06,Grid supplied,Natural Gas,178,00QS,00QSMK,17.79
,Basement and Ground Floor,81 Berkeley Street,Glasgow,G3 7DX,56.63,Grid supplied,Natural Gas,302,00QS,00QSMK,6.09
9.067E+11,13 Granville Street,,Glasgow,G3 7EE,51.94,Grid supplied,Natural Gas,272,00QS,00QSMK,6.82
,First Floor,100 Berkeley Street,Glasgow,G3 7HU,44.33,Grid supplied,Natural Gas,108,00QS,00QSMK,12.76
9.067E+11,136 ELDERSLIE STREET,,GLASGOW,G3 7JR,114.2,Grid supplied,Natural Gas,563,00QS,00QSMK,48.49
