OSG_REFERENCE_NUMBER,ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,BUILDING_EMISSIONS,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,APPROXIMATE_ENERGY_USE,LOCAL_AUTHORITY,CONSTITUENCY,TARGET_EMISSIONS
123110107,28-32 WATT ROAD,HILLINGTON PARK,GLASGOW,G52 4RY,30.55,Grid supplied,Natural Gas,183,00RC,00RCMB,8.38
123013933,14-16 WATT ROAD,HILLINGTON PARK,GLASGOW,G52 4RY,63.82,Grid supplied,Natural Gas,220,00RC,00RCMB,33.98
123013928,10 WATT ROAD,HILLINGTON PARK,GLASGOW,G52 4RY,88.3,Grid supplied,Natural Gas,438,00RC,00RCMB,13.27
123013936,21 WATT ROAD,HILLINGTON PARK,GLASGOW,G52 4RY,42.06,Grid supplied,Natural Gas,209,00RC,00RCMB,8.78
123013942,35-37 WATT ROAD,HILLINGTON PARK,GLASGOW,G52 4RY,8.6,Grid supplied,Biomass,130,00RC,00RCMB,5.65
123091607,34 WATT ROAD,HILLINGTON PARK,GLASGOW,G52 4RY,49.69,Grid supplied,Natural Gas,131,00RC,00RCMB,13.1
,Unit 7 and 8 Northpoint,15 Gordon Avenue,Glasgow,G52 4TG,75.92,Grid supplied,Natural Gas,369,00RC,00RCMB,7.39
123013828,2 GORDON AVENUE,HILLINGTON PARK,GLASGOW,G52 4TG,146.56,Grid supplied,Natural Gas,406,00RC,00RCMB,42.59
,Unit 14 Northpoint,27 Gordon Avenue,Glasgow,G52 4TG,43.52,Grid supplied,Natural Gas,233,00RC,00RCMB,11.2
,Unit 20 Northpoint,39 Gordon Avenue,Glasgow,G52 4TG,41.58,Grid supplied,Natural Gas,211,00RC,00RCMB,12.4
,Unit 2,Atholl Avenue,Glasgow,G52 4UA,43.56,Grid supplied,Natural Gas,235,00RC,00RCMB,6.67
123092504,,520 Hillington Road,Glasgow,G52 4UB,84.38,Grid supplied,Natural Gas,210,00RC,00RCMA,26.55
123013725,427 HILLINGTON ROAD,HILLINGTON PARK,GLASGOW,G52 4UJ,41.29,Grid supplied,Natural Gas,208,00RC,00RCMB,7.52
123092752,100 PENILEE ROAD,HILLINGTON PARK,GLASGOW,G52 4UU,7.72,Grid supplied,Natural Gas,45,00RC,00RCMB,1.69
123091062,500 HILLINGTON ROAD,HILLINGTON PARK,GLASGOW,G52 4XA,15.13,Grid supplied,Natural Gas,87,00RC,00RCMB,5.08
,2 Edison Street,Hillington,Glasgow,G52 4XN,6.28,Grid supplied,Natural Gas,37,00RC,00RCMB,1.7
123013626,15 CARLYLE AVENUE,HILLINGTON PARK,GLASGOW,G52 4XX,76.59,Grid supplied,Natural Gas,297,00RC,00RCMB,28.29
123013622,2-6 Carlyle Avenue,Hillington Park,Glasgow,G52 4XX,155.12,Grid supplied,Natural Gas,600,00RC,00RCMB,28.86
123013623,9 CARLYLE AVENUE,Hillington Park,Glasgow,G52 4XX,89.77,Grid supplied,Natural Gas,434,00RC,00RCMB,12.74
123013634,41 Carlyle Avenue,Hillington Park,Glasgow,G52 4XX,202.22,Grid supplied,Natural Gas,467,00RC,00RCMB,41.73
,22-24 Carlyle Avenue,Hillington Park,Glasgow,G52 4XX,29.72,Grid supplied,Natural Gas,84,00RC,00RCMB,19.71
123095327,13 CARLYLE AVENUE,HILLINGTON PARK,GLASGOW,G52 4XX,34.08,Grid supplied,Natural Gas,92,00RC,00RCMB,17.65
123013625,11 CARLYLE AVENUE,HILLINGTON PARK,GLASGOW,G52 4XX,21.39,Grid supplied,Natural Gas,116,00RC,00RCMB,8.68
123013628,20 CARLYLE AVENUE,HILLINGTON PARK,GLASGOW,G52 4XX,29.1,Grid supplied,Natural Gas,82,00RC,00RCMB,9.26
,Carlson House 19 Mossland Road,Hillington Park,Glasgow,G52 4XZ,69.13,Grid supplied,Natural Gas,181,00RC,00RCMB,23.78
,Merlin House,Mossland Road,Glasgow,G52 4XZ,61.7,Grid supplied,Natural Gas,164,00RC,00RCMB,15.22
